text_pt,label
"Definitivamente não é um livro em aquarela.  O papel resistiu completamente.  As páginas honestamente parecem ser cópias fotográficas de outras fotos. Eu digo isso porque se você olhar as fotos do selo, poderá ver a linha reveladora na parte inferior da página.  Como alguém que fez muitas fotocópias de páginas na minha época para poder experimentar diferentes cores e mídias, essa linha preta é uma revelação absoluta para mim. Está em outras páginas também.  O livro inteiro parece estranho. Nada é nítido e claro. Há o que parece ser pó de toner em todas as páginas, fazendo com que pareçam turvas.  Não há linhas nítidas e não há uma definição clara.  Pelo menos não há na minha cópia.  E o Livro de Colorir para Adultos na parte inferior da capa me irrita. Por que é singular e não plural?  Eles costumam dizer livro de colorir para crianças ou livro de colorir para crianças e adultos ou livro de colorir para adultos - plural.  Haha Além disso, funcionaria para crianças se você conseguisse superar a natureza da escala de cinza disso.  Pessoalmente, não vou desperdiçar canetas e tintas caras tentando pintar sobre a bagunça cinza e preta.  Eu cresci no sudoeste da Flórida, a poucos minutos das praias e estava muito animado com a vida marinha aqui. Espero que os impressores e designers descubram como limpar a bagunça, porque alguns dos designs são realmente fofos. Eles simplesmente não valem meu tempo para rastreá-los e transferi-los manualmente, mas tenho certeza de que há pessoas que estarão à altura do desafio.  Este é um não difícil. Voltando. Tentei.",0
"Atualizado: depois que o primeiro livro chegou muito danificado, o substituto chegou em perfeitas condições.",2
"Comprei pela bolsa na frente então se pagou com aquela imo.  Ainda não comecei nada porque ainda estou ocupado com outros projetos, mas estou realmente ansioso para começar alguns.",2
"Atualizado: depois que o primeiro chegou danificado, o substituto chegou em perfeitas condições.",2
"Eu amo esse livro!  Os padrões são lindos. Admito que nem estou seguindo todos ao pé da letra. Eu sou mais um espírito livre.  Eu vejo os designs e dou uma olhada nas dimensões e às vezes meio que improviso a partir daí. lol. Tenho 54 anos agora e muito menos rígido em minhas artes e ofícios do que era quando era mais jovem, quando ia a 6 lojas tentando encontrar os fios ou fios certos. Lol. Esses dias acabaram!  Louvado seja o Senhor!  É muito mais divertido agora também.  Como Bob Ross costumava dizer: “Erros felizes!”  Às vezes faço muitos deles, mas descobri que a jornada para mim é muito mais interessante hoje em dia. Lol.",2
"Falta o bloco de desenho. Pior ainda, percebi que é idêntico ao livro Drawing Lab For Mixed Media Artists que já comprei.",0
"Sério, um dos poucos livros que encomendei da Amazon que chegou em perfeitas condições. Sem bordas dobradas, sem capas dobradas, sem impressão estragada, sem líquidos misteriosos e sem páginas dobradas. O livro é adorável, mas minha implicância contínua com livros como esse é a insistência do fabricante em imprimir em ambos os lados das malditas páginas. Portanto, você não pode enquadrar uma foto sem perder a imagem do outro lado. É irritante.  Eu ficaria feliz em pagar mais por um livro com imagens impressas em apenas um lado e em papéis aquarela.  Então, em vez disso, acho que irei arrancá-los, digitalizá-los e imprimi-los em meus próprios papéis de aquarela para poder usar as imagens em ambos os lados.  O papel simplesmente não suporta muitos meios de comunicação que você opte por usar os dois lados na minha experiência. Sempre.  Acredito que agora possuo todos, menos um dos livros de JD e irei comprá-lo para mim no Dia das Mães. Lol. Eu amo a arte dela. Adoro os selos dela. Eu adoro este livro, mas estou batendo uma estrela porque imprimir em ambos os lados é estúpido quando o livro se destina a ser usado para criar mais arte.  Por que limitar os artistas fazendo-nos escolher qual lado usar para emoldurar ou qual lado usar se decidirmos cortar um lado para cima e decupá-lo em algo? Estamos então pagando o dobro por meio livro!  É uma loucura. Dê aos compradores outras opções além de criar mais trabalhos, como mencionei, desmembrar o livro, digitalizá-lo para uso pessoal e imprimi-lo em papéis melhores.",2
"Eu amo esse livro.  Não fui abençoado com talento artístico. Música sim. Desenho não. Lol. Tenho vários livros dela agora e pretendo comprar mais para mim, meus 5 filhos e meus netos. Todos nós amamos artes e ofícios e esses livros são simplesmente fantásticos. Meu único problema é que ainda não comecei a trabalhar neles! Lol. Eu uso um caderno de desenho separado!  Eu sou da velha escola. Ensinado a nunca escrever em livros ou desfigurá-los. A única vez que faço isso é se a gramática ou a pontuação estiverem erradas ou se o autor idiota disser que o assassino tem olhos azuis onde antes diziam verdes. Erros de plotagem me deixam louco. Nessas horas eu consertarei os erros. Lol.  Então, espero realmente trabalhar e desenhar nos livros. Lol.  Espero que ela faça muito mais deles.",2
"Eu realmente queria gostar deste livro porque tenho os outros dois livros dela, mas alguém ficou ganancioso. Tem metade do tamanho, mas o mesmo preço.  Eu esperava que todos os animais da selva fossem encontrados, então encontrar mamões, figos, cocos e abacaxis parece mais uma saída. Se eu quisesse um livro de frutas, teria comprado um!  Essas páginas também parecem mais finas. Você pode ver as imagens da arte nos outros lados vazando. Eu amo a artista e seu trabalho, mas estou muito decepcionado com este livro. São míseras 64 páginas e 4 dos projetos (a fruta) que nunca pintarei em minha vida.  Há tantos animais que ela poderia ter colocado aqui, como zebras, leões, rinocerontes, hipopótamos, crocodilos, crocodilos e avestruzes, etc., em vez da fruta estúpida.  Mal executado no conteúdo e na extensão do livro, mas obras de arte adoráveis ​​nos bons.  Não vale $ 23, na minha opinião.  Dei 3 estrelas porque não vale o preço, pois é metade do livro dos anteriores e falta conteúdo para projetos de arte.",1
"Cada página tem um vinco que percorre todo o comprimento do livro, a cerca de 2,5 cm das bordas.",0
